,azure_score
0,0.5
1,0.5
2,0.5
3,0.5
4,0.89
5,0.874
6,0.775
7,0.5
8,0.854
9,0.94
10,0.5
11,0.5
12,0.5
13,0.5
14,0.5
15,0.24
16,0.5
17,0.95
18,0.94
19,0.95
20,0.81
21,0.87
22,0.5
23,0.5
24,0.5
25,0.95
26,0.5
27,0.8
28,0.94
29,0.5
30,0.26
31,0.07
32,0.92
33,0.75
34,0.88
35,0.9
36,0.94
37,0.75
38,0.87
39,0.94
40,0.98
41,0.93
42,0.85
43,0.5
44,0.21
45,0.5
46,0.96
47,0.5
48,0.79
49,0.5
50,0.94
51,0.5
52,0.89
53,0.85
54,0.92
55,0.75
56,0.28
57,0.5
58,0.94
59,0.92
60,0.91
61,0.24
62,0.5
63,0.5
64,0.9
65,0.18
66,0.83
67,0.89
68,0.77
69,0.75
70,0.85
71,0.5
72,0.92
73,0.82
74,0.94
75,0.81
76,0.5
77,0.29
78,0.77
79,0.97
80,0.83
81,0.96
82,0.96
83,0.93
84,0.95
85,0.88
86,0.5
87,0.9
88,0.5
89,0.5
90,0.96
91,0.8
92,0.5
93,0.91
94,0.5
95,0.93
96,0.96
97,0.94
98,0.5
99,0.8
100,0.5
101,0.5
102,0.5
103,0.5
104,0.5
105,0.8
106,0.5
107,0.8
108,0.9
109,0.8
110,0.8
111,0.8
112,0.5
113,0.9
114,0.7
115,0.5
116,0.9
117,0.9
118,0.8
119,0.9
120,0.5
121,0.5
122,0.5
123,0.2
124,0.8
125,0.7
126,0.5
127,0.9
128,0.8
129,0.5
130,0.5
131,0.8
132,0.5
133,0.5
134,0.9
135,0.8
136,0.5
137,0.8
138,0.5
139,0.8
140,0.9
141,0.8
142,0.9
143,0.5
144,0.5
145,0.5
146,0.8
147,0.9
148,0.9
149,0.9
150,0.8
151,0.8
152,0.5
153,0.7
154,0.5
155,0.5
156,0.5
157,0.9
158,0.8
159,0.8
160,0.5
161,0.7
162,0.5
163,0.8
164,0.9
165,0.8
166,0.8
167,0.5
168,0.8
169,0.9
170,0.7
171,0.9
172,0.8
173,0.5
174,0.9
175,0.9
176,0.5
177,0.9
178,0.5
179,0.5
180,0.8
181,0.9
182,0.8
183,0.8
184,0.7
185,0.9
186,0.8
187,0.5
188,0.1
189,0.9
190,0.5
191,0.8
192,0.8
193,0.5
194,0.9
195,0.5
196,0.2
197,0.5
198,0.7
199,0.7
200,0.5
201,0.7
202,0.9
203,0.8
204,0.7
205,0.8
206,0.6
207,0.7
208,0.1
209,0.5
210,0.5
211,0.1
212,0.9
213,0.5
214,0.7
215,0.5
216,0.9
217,0.5
218,0.7
219,0.9
220,0.9
221,0.5
222,0.5
223,0.5
224,0.8
225,0.5
226,0.7
227,0.5
228,0.8
229,0.8
230,0.7
231,0.9
232,0.9
233,0.9
234,0.7
235,0.5
236,0.9
237,0.8
238,0.5
239,0.5
240,0.5
241,0.5
242,0.5
243,0.5
244,0.5
245,0.5
246,0.5
247,0.5
248,0.5
249,0.5
250,0.9
251,0.7
252,0.5
253,0.8
254,0.5
255,0.5
256,0.3
257,0.5
258,0.5
259,0.5
260,0.5
261,0.9
262,0.9
263,0.5
264,0.5
265,0.8
266,0.9
267,0.8
268,0.7
269,0.5
270,0.7
271,0.5
272,0.9
273,0.7
274,0.9
275,0.5
276,0.8
277,0.8
278,0.7
279,0.5
280,0.8
281,0.5
282,0.8
283,0.5
284,0.5
285,0.5
286,0.5
287,0.9
288,0.8
289,0.5
290,0.8
291,0.5
292,0.5
293,0.5
294,0.5
295,0.7
296,0.9
297,0.5
298,0.8
299,0.9
300,0.5
301,0.9
302,0.5
303,0.5
304,0.5
305,0.1
306,0.7
307,0.5
308,0.5
309,0.5
310,0.7
311,0.9
312,0.2
313,0.5
314,0.1
315,0.1
316,0.8
317,0.5
318,0.8
319,0.9
320,0.8
321,0.7
322,0.5
323,0.9
324,0.5
325,0.5
326,0.9
327,0.9
328,0.9
329,0.9
330,0.9
331,0.9
332,0.9
333,0.5
334,0.7
335,0.8
336,0.7
337,0.5
338,0.5
339,0.9
340,0.9
341,0.8
342,0.5
343,0.5
344,0.5
345,0.5
346,0.9
347,0.5
348,0.5
349,0.5
350,0.5
351,0.7
352,0.7
353,0.5
354,0.8
355,0.5
356,0.5
357,0.5
358,0.5
359,0.5
360,0.7
361,0.5
362,0.8
363,0.8
364,0.5
365,0.7
366,0.9
367,0.9
368,0.2
369,0.7
370,0.2
371,0.5
372,0.5
373,0.5
374,0.5
375,0.5
376,0.5
377,0.5
378,0.5
379,0.1
380,0.5
381,0.5
382,0.5
383,0.5
384,0.2
385,0.5
386,0.5
387,0.7
388,0.5
389,0.5
390,0.5
391,0.5
392,0.5
393,0.5
394,0.5
395,0.5
396,0.5
397,0.5
398,0.5
399,0.7
400,0.5
401,0.9
402,0.1
403,0.7
404,0.5
405,0.9
406,0.5
407,0.7
408,0.9
409,0.5
410,0.7
411,0.5
412,0.5
413,0.5
414,0.7
415,0.5
416,0.7
417,0.7
418,0.5
419,0.5
420,0.5
421,0.7
422,0.9
423,0.5
424,0.8
425,0.5
426,0.5
427,0.5
428,0.8
429,0.8
430,0.5
431,0.9
432,0.5
433,0.5
434,0.9
435,0.5
436,0.5
437,0.5
438,0.5
439,0.5
440,0.5
441,0.5
442,0.9
443,0.5
444,0.5
445,0.9
446,0.8
447,0.9
448,0.5
449,0.9
450,0.5
451,0.7
452,0.9
453,0.9
454,0.5
455,0.9
456,0.5
457,0.8
458,0.5
459,0.5
460,0.5
461,0.5
462,0.7
463,0.5
464,0.9
465,0.7
466,0.5
467,0.8
468,0.5
469,0.5
470,0.5
471,0.8
472,0.8
473,0.8
474,0.5
475,0.5
476,0.5
477,0.9
478,0.7
479,0.9
480,0.8
481,0.8
482,0.9
483,0.9
484,0.9
485,0.9
486,0.5
487,0.5
488,0.5
489,0.5
490,0.5
491,0.5
492,0.5
493,0.5
494,0.5
495,0.7
496,0.5
497,0.5
498,0.8
499,0.7
500,0.5
501,0.5
502,0.5
503,0.5
504,0.5
505,0.5
506,0.8
507,0.5
508,0.5
509,0.5
510,0.5
511,0.5
512,0.5
513,0.5
514,0.9
515,0.9
516,0.8
517,0.9
518,0.9
519,0.8
520,0.5
521,0.8
522,0.7
523,0.5
524,0.9
525,0.8
526,0.2
527,0.9
528,0.7
529,0.5
530,0.7
531,0.8
532,0.5
533,0.5
534,0.8
535,0.5
536,0.5
537,0.7
538,0.7
539,0.5
540,0.8
541,0.9
542,0.9
543,0.7
544,0.9
545,0.5
546,0.9
547,0.5
548,0.5
549,0.9
550,0.8
551,0.5
552,0.9
553,0.8
554,0.7
555,0.9
556,0.9
557,0.9
558,0.7
559,0.8
560,0.7
561,0.5
562,0.5
563,0.9
564,0.5
565,0.9
566,0.8
567,0.5
568,0.8
569,0.5
570,0.9
571,0.5
572,0.5
573,0.8
574,0.5
575,0.5
576,0.5
577,0.5
578,0.9
579,0.7
580,0.8
581,0.2
582,0.5
583,0.8
584,0.5
585,0.5
586,0.5
587,0.9
588,0.8
589,0.9
590,0.5
591,0.8
592,0.9
593,0.9
594,0.9
595,0.9
596,0.5
597,0.5
598,0.7
599,0.9
600,0.9
601,0.8
602,0.8
603,0.8
604,0.5
605,0.8
606,0.2
607,0.9
608,0.1
609,0.5
610,0.8
611,0.9
612,0.5
613,0.9
614,0.9
615,0.9
616,0.5
617,0.5
618,0.5
619,0.8
620,0.9
621,0.9
