,azure score
0,0.5 
1,0.5 
2,0.5 
3,0.5 
4,0.89
5,0.87
6,0.77
7,0.5 
8,0.85
9, 0.9
10, 0.5
11, 0.5
12, 0.5
13, 0.5
14, 0.5
15, 0.2
16, 0.5
17, 0.9
18, 0.9
19, 0.9
20, 0.8
21, 0.8
22, 0.5
23, 0.5
24, 0.5
25, 0.9
26, 0.5
27, 0.8
28, 0.9
29, 0.5
30, 0.2
31, 0.0
32, 0.9
33, 0.7
34, 0.8
35, 0.9
36, 0.9
37, 0.7
38, 0.8
39, 0.9
40, 0.9
41, 0.9
42, 0.8
43, 0.5
44, 0.2
45, 0.5
46, 0.9
47, 0.5
48, 0.7
49, 0.5
50, 0.9
51, 0.5
52, 0.8
53, 0.8
54, 0.9
55, 0.7
56, 0.2
57, 0.5
58, 0.9
59, 0.9
60, 0.9
61, 0.2
62, 0.5
63, 0.5
64, 0.9
65, 0.1
66, 0.8
67, 0.8
68, 0.7
69, 0.7
70, 0.8
71, 0.5
72, 0.9
73, 0.8
74, 0.9
75, 0.8
76, 0.5
77, 0.2
78, 0.7
79, 0.9
80, 0.8
81, 0.9
82, 0.9
83, 0.9
84, 0.9
85, 0.8
86, 0.5
87, 0.9
88, 0.5
89, 0.5
90, 0.9
91, 0.8
92, 0.5
93, 0.9
94, 0.5
95, 0.9
96, 0.9
97, 0.9
