,watson_score
0,0.0
1,0.77
2,0.71
3,0.0
4,0.76
5,0.47
6,0.63
7,0.0
8,0.6
9,0.79
10,0.86
11,0.53
12,0.48
13,0.39
14,0.67
15,-0.76
16,0.48
17,0.99
18,0.58
19,0.9
20,0.65
21,0.78
22,0.6
23,0.59
24,0.41
25,0.98
26,0.52
27,-0.6
28,0.57
29,0.73
30,-0.32
31,-0.62
32,0.59
33,0.73
34,0.56
35,0.67
36,-0.32
37,0.63
38,0.8
39,-0.35
40,0.82
41,0.76
42,0.69
43,-0.36
44,-0.9
45,0.86
46,0.94
47,0.61
48,0.94
49,0.38
50,0.54
51,-0.48
52,0.68
53,-0.31
54,0.63
55,0.66
56,0.58
57,-0.35
58,0.62
59,0.75
60,0.7
61,-0.3
62,0.34
63,0.45
64,0.43
65,-0.4
66,0.33
67,0.57
68,0.81
69,0.79
70,0.89
71,0.22
72,0.36
73,0.92
74,0.92
75,0.85
76,0.49
77,0.8
78,0.59
79,0.85
80,0.57
81,0.59
82,0.75
83,0.9
84,0.83
85,-0.62
86,0.73
87,0.95
88,0.43
89,0.67
90,0.63
91,0.65
92,0.0
93,0.91
94,0.58
95,0.58
96,0.78
97,0.95
